translation,Surah,Juz
و چون ديد دستهايشان به غذا دراز نمى‌شود، آنان را ناشناس يافت و از ايشان ترسى بر دل گرفت. گفتند: «مترس، ما به سوى قوم لوط فرستاده شده‌ايم.»,70,12
و زن او ايستاده بود. خنديد. پس وى را به اسحاق و از پى اسحاق به يعقوب مژده داديم.,71,12
[همسر ابراهيم‌] گفت: «اى واى بر من، آيا فرزند آورم با آنكه من پيرزنم، و اين شوهرم پيرمرد است؟ واقعاً اين چيزِ بسيار عجيبى است.»,72,12
گفتند: «آيا از كار خدا تعجّب مى‌كنى؟ رحمت خدا و بركات او بر شما خاندان [رسالت‌] باد. بى‌گمان، او ستوده‌اى بزرگوار است.»,73,12
پس وقتى ترس ابراهيم زايل شد و مژده [فرزنددار شدن‌] به او رسيد، در باره قوم لوط با ما [به قصد شفاعت‌] چون و چرا مى‌كرد.,74,12
زيرا ابراهيم، بردبار و نرمدل و بازگشت‌كننده [به سوى خدا] بود.,75,12
اى ابراهيم! از اين [چون و چرا] روى برتاب، كه فرمان پروردگارت آمده و براى آنان عذابى كه بى‌بازگشت است خواهد آمد.,76,12
و براى هر كسى قبله‌اى است كه وى روى خود را به آن [سوى‌] مى‌گرداند؛ پس در كارهاى نيك بر يكديگر پيشى گيريد. هر كجا كه باشيد، خداوند همگى شما را [به سوى خود باز] مى‌آورد؛ در حقيقت، خدا بر همه چيز تواناست.,148,2
و چون فرستادگان ما نزد لوط آمدند، به [آمدنِ‌] آنان ناراحت، و دستش از حمايت ايشان كوتاه شد و گفت: «امروز، روزى سخت است.»,77,12
و قوم او شتابان به سويش آمدند، و پيش از آن كارهاى زشت مى‌كردند. [لوط] گفت: «اى قوم من، اينان دختران منند. آنان براى شما پاكيزه‌ترند. پس از خدا بترسيد و مرا در كار مهمانانم رسوا مكنيد. آيا در ميان شما آدمى عقل‌رس پيدا نمى‌شود؟»,78,12
گفتند: «تو خوب مى‌دانى كه ما را به دخترانت حاجتى نيست و تو خوب مى‌دانى كه ما چه مى‌خواهيم.»,79,12
[لوط] گفت: «كاش براى مقابله با شما قدرتى داشتم يا به تكيه‌گاهى استوار پناه مى‌جستم.»,80,12
گفتند: «اى لوط، ما فرستادگان پروردگار توييم. آنان هرگز به تو دست نخواهند يافت. پس، پاسى از شب گذشته خانواده‌ات را حركت ده -و هيچ كس از شما نبايد واپس بنگرد- مگر زنت، كه آنچه به ايشان رسد به او [نيز] خواهد رسيد. بى‌گمان، وعده‌گاه آنان صبح است. مگر صبح نزديك نيست؟»,81,12
پس چون فرمان ما آمد، آن [شهر] را زير و زبر كرديم و سنگ‌پاره‌هايى از [نوع‌] سنگ گلهاى لايه لايه، بر آن فرو ريختيم.,82,12
[سنگهايى‌] كه نزد پروردگارت نشان‌زده بود. و [خرابه‌هاى‌] آن از ستمگران چندان دور نيست.,83,12
و به سوى [اهل‌] مَدْيَن، برادرشان شعيب را [فرستاديم‌]. گفت: «اى قوم من، خدا را بپرستيد. براى شما جز او معبودى نيست. و پيمانه و ترازو را كم مكنيد. به راستى شما را در نعمت مى‌بينم. و[لى‌] از عذاب روزى فراگير بر شما بيمناكم.»,84,12
«و اى قوم من، پيمانه و ترازو را به داد، تمام دهيد، و حقوق مردم را كم مدهيد، و در زمين به فساد سر برمداريد.»,85,12
«اگر مؤمن باشيد، باقيمانده [حلال‌] خدا براى شما بهتر است، و من بر شما نگاهبان نيستم.»,86,12
و از هر كجا بيرون آمدى، روى خود را به سوى مسجدالحرام بگردان، و البته اين [فرمان‌] حق است و از جانب پروردگار تو است و خداوند از آنچه مى‌كنيد غافل نيست.,149,2
گفتند: «اى شعيب، آيا نماز تو به تو دستور مى‌دهد كه آنچه را پدران ما مى‌پرستيده‌اند رها كنيم، يا در اموال خود به ميل خود تصرّف نكنيم؟ راستى كه تو بردبار فرزانه‌اى.»,87,12
گفت: «اى قوم من، بينديشيد، اگر از جانب پروردگارم دليل روشنى داشته باشم، و او از سوى خود روزى نيكويى به من داده باشد [آيا باز هم از پرستش او دست بردارم؟] من نمى‌خواهم در آنچه شما را از آن باز مى‌دارم با شما مخالفت كنم [و خود مرتكب آن شوم‌]. من قصدى جز اصلاح [جامعه‌] تا آنجا كه بتوانم، ندارم، و توفيق من جز به [يارى‌] خدا نيست. بر او توكّل كرده‌ام و به سوى او بازمى‌گردم.»,88,12
«و اى قوم من، زنهار تا مخالفت شما با من، شما را بدانجا نكشاند كه [بلايى‌] مانند آنچه به قوم نوح يا قوم هود يا قوم صالح رسيد، به شما [نيز] برسد، و قوم لوط از شما چندان دور نيست.»,89,12
«و از پروردگار خود آمرزش بخواهيد، سپس به درگاه او توبه كنيد كه پروردگار من مهربان و دوستدار [بندگان‌] است.»,90,12
گفتند: «اى شعيب! بسيارى از آنچه را كه مى‌گويى نمى‌فهميم، و واقعاً تو را در ميان خود ضعيف مى‌بينيم، و اگر عشيره تو نبود قطعاً سنگسارت مى‌كرديم، و تو بر ما پيروز نيستى!»,91,12
گفت: «اى قوم من، آيا عشيره من پيشِ شما از خدا عزيزتر است كه او را پشت سر خود گرفته‌ايد [و فراموشش كرده‌ايد]؟ در حقيقت، پروردگار من به آنچه انجام مى‌دهيد احاطه دارد.»,92,12
«و اى قوم من، شما بر حسب امكانات خود عمل كنيد، من [نيز] عمل مى‌كنم. به زودى خواهيد دانست كه عذاب رسواكننده بر چه كسى فرود مى‌آيد و دروغگو كيست؛ و انتظار بريد كه من [هم‌] با شما منتظرم.»,93,12
و چون فرمان ما آمد، شعيب و كسانى را كه با او ايمان آورده بودند، به رحمتى از جانب خويش نجات داديم، و كسانى را كه ستم كرده بودند، فرياد [مرگبار] فرو گرفت، و در خانه‌هايشان از پا درآمدند.,94,12
گويى در آن [خانه‌ها] هرگز اقامت نداشته‌اند. هان، مرگ بر [مردم‌] مَدْيَن، همان گونه كه ثمود هلاك شدند.,95,12
و به راستى، موسى را با آيات خود و حجّتى آشكار،,96,12
و از هر كجا بيرون آمدى، [به هنگام نماز] روى خود را به سمت مسجدالحرام بگردان؛ و هر كجا بوديد رويهاى خود را به سوى آن بگردانيد، تا براى مردم -غير از ستمگرانشان- بر شما حجتى نباشد. پس، از آنان نترسيد، و از من بترسيد، تا نعمت خود را بر شما كامل گردانم، و باشد كه هدايت شويد.,150,2
به سوى فرعون و سران [قوم‌] وى فرستاديم، ولى [سران‌] از فرمان فرعون پيروى كردند، و فرمان فرعون صواب نبود.,97,12
روز قيامت پيشاپيش قومش مى‌رود و آنان را به آتش درمى‌آورد، و [دوزخ‌] چه ورودگاه بدى براى واردان است.,98,12
و در اين دنيا و روز قيامت به لعنت بدرقه شدند، و چه بد عطايى نصيب آنان مى‌شود.,99,12
اين، از خبرهاى آن شهرهاست كه آن را بر تو حكايت مى‌كنيم. بعضى از آنها [هنوز] بر سرِ پا هستند و [بعضى‌] بر باد رفته‌اند.,100,12
و ما به آنان ستم نكرديم، ولى آنان به خودشان ستم كردند. پس چون فرمان پروردگارت آمد، خدايانى كه به جاى خدا[ى حقيقى‌] مى‌خواندند هيچ به كارشان نيامد، و جز بر هلاكت آنان نيفزود.,101,12
و اين گونه بود [به قهر] گرفتن پروردگارت، وقتى شهرها را در حالى كه ستمگر بودند [به قهر] مى‌گرفت. آرى [به قهر] گرفتن او دردناك و سخت است.,102,12
قطعاً در اين [يادآوريها] براى كسى كه از عذاب آخرت مى‌ترسد عبرتى است. آن [روز] روزى است كه مردم را براى آن گرد مى‌آورند، و آن [روز] روزى است كه [جملگى در آن‌] حاضر مى‌شوند.,103,12
و ما آن را جز تا زمان معيّنى به تأخير نمى‌افكنيم.,104,12
روزى [است‌] كه چون فرا رسد هيچ كس جز به اذن وى سخن نگويد. آنگاه بعضى از آنان تيره‌بختند و [برخى‌] نيكبخت.,105,12
و اما كسانى كه تيره‌بخت شده‌اند، در آتش، فرياد و ناله‌اى دارند.,106,12
همان طور كه در ميان شما، فرستاده‌اى از خودتان روانه كرديم، [كه‌] آيات ما را بر شما مى‌خواند، و شما را پاك مى‌گرداند، و به شما كتاب و حكمت مى‌آموزد، و آنچه را نمى‌دانستيد به شما ياد مى‌دهد.,151,2
تا آسمانها و زمين برجاست، در آن ماندگار خواهند بود، مگر آنچه پروردگارت بخواهد، زيرا پروردگار تو همان كُند كه خواهد.,107,12
و اما كسانى كه نيكبخت شده‌اند، تا آسمانها و زمين برجاست، در بهشت جاودانند، مگر آنچه پروردگارت بخواهد. [كه اين‌] بخششى است كه بريدنى نيست.,108,12
پس در باره آنچه آنان [=مشركان‌] مى‌پرستند در ترديد مباش. آنان جز همان گونه كه قبلا پدرانشان مى‌پرستيدند، نمى‌پرستند. و ما بهره ايشان را تمام و ناكاسته خواهيم داد.,109,12
و به حقيقت، ما به موسى كتاب [آسمانى‌] داديم، پس در مورد آن اختلاف شد، و اگر از جانب پروردگارت وعده‌اى پيشى نگرفته بود، قطعاً ميان آنها داورى شده بود، و بى گمان، آنان در باره آن در شكى بهتان‌آميزند.,110,12
و قطعاً پروردگارت [نتيجه‌] اعمال هر يك را به تمام [و كمال‌] به آنان خواهد داد، چرا كه او به آنچه انجام مى‌دهند آگاه است.,111,12
پس، همان گونه كه دستور يافته‌اى ايستادگى كن، و هر كه با تو توبه كرده [نيز چنين كند]، و طغيان مكنيد كه او به آنچه انجام مى‌دهيد بيناست.,112,12
و به كسانى كه ستم كرده‌اند متمايل مشويد كه آتش [دوزخ‌] به شما مى‌رسد، و در برابر خدا براى شما دوستانى نخواهد بود، و سرانجام يارى نخواهيد شد.,113,12
و در دو طرف روز [=اول و آخر آن‌] و نخستين ساعات شب نماز را برپا دار، زيرا خوبيها بديها را از ميان مى‌برد. اين براى پندگيرندگان، پندى است.,114,12
و شكيبا باش كه خدا پاداش نيكوكاران را ضايع نمى‌گرداند.,115,12
پس چرا از نسلهاى پيش از شما خردمندانى نبودند كه [مردم را] از فساد در زمين باز دارند؟ جز اندكى از كسانى كه از ميان آنان نجاتشان داديم. و كسانى كه ستم كردند به دنبال ناز و نعمتى كه در آن بودند رفتند، و آنان بزهكار بودند.,116,12
پس مرا ياد كنيد، [تا] شما را ياد كنم؛ و شكرانه‌ام را به جاى آريد؛ و با من ناسپاسى نكنيد.,152,2
و پروردگار تو [هرگز] بر آن نبوده است كه شهرهايى را كه مردمش اصلاحگرند، به ستم هلاك كند.,117,12
و اگر پروردگار تو مى‌خواست، قطعاً همه مردم را امّت واحدى قرار مى‌داد، در حالى كه پيوسته در اختلافند،,118,12
مگر كسانى كه پروردگار تو به آنان رحم كرده، و براى همين آنان را آفريده است. و وعده پروردگارت [چنين‌] تحقّق پذيرفته است [كه:] «البتّه جهنّم را از جنّ و انس يكسره پر خواهم كرد.»,119,12
و هر يك از سرگذشتهاى پيامبران [خود] را كه بر تو حكايت مى‌كنيم، چيزى است كه دلت را بدان استوار مى‌گردانيم، و در اينها حقيقت براى تو آمده، و براى مؤمنان اندرز و تذكّرى است.,120,12
و به كسانى كه ايمان نمى‌آورند بگو: «بر حسب امكانات خود عمل كنيد كه ما [هم‌] عمل خواهيم كرد.»,121,12
«و منتظر باشيد كه ما [نيز] منتظر خواهيم بود.»,122,12
و نهان آسمانها و زمين از آنِ خداست، و تمام كارها به او بازگردانده مى‌شود؛ پس او را پرستش كن و بر او توكّل نماى، و پروردگار تو از آنچه انجام مى‌دهيد غافل نيست.,123,12
الف، لام، راء. اين است آيات كتاب روشنگر.,1,12
ما آن را قرآنى عربى نازل كرديم، باشد كه بينديشيد.,2,12
ما نيكوترين سرگذشت را به موجب اين قرآن كه به تو وحى كرديم، بر تو حكايت مى‌كنيم، و تو قطعاً پيش از آن از بى‌خبران بودى.,3,12
با خدا و مؤمنان نيرنگ مى‌بازند؛ ولى جز بر خويشتن نيرنگ نمى‌زنند، و نمى‌فهمند.,9,1
اى كسانى كه ايمان آورده‌ايد، از شكيبايى و نماز يارى جوييد؛ زيرا خدا با شكيبايان است.,153,2
[ياد كن‌] زمانى را كه يوسف به پدرش گفت: «اى پدر، من [در خواب‌] يازده ستاره را با خورشيد و ماه ديدم. ديدم [آنها] براى من سجده مى‌كنند.»,4,12
[يعقوب‌] گفت: «اى پسرك من، خوابت را براى برادرانت حكايت مكن كه براى تو نيرنگى مى‌انديشند، زيرا شيطان براى آدمى دشمنى آشكار است.,5,12
و اين چنين، پروردگارت تو را برمى‌گزيند، و از تعبير خوابها به تو مى‌آموزد، و نعمتش را بر تو و بر خاندان يعقوب تمام مى‌كند، همان گونه كه قبلاً بر پدران تو، ابراهيم و اسحاق، تمام كرد. در حقيقت، پروردگار تو داناى حكيم است.,6,12
به راستى در [سرگذشتِ‌] يوسف و برادرانش براى پُرسندگان عبرتهاست.,7,12
هنگامى كه [برادران او] گفتند: «يوسف و برادرش نزد پدرمان از ما -كه جمعى نيرومند هستيم- دوست‌داشتنى‌ترند. قطعاً پدر ما در گمراهى آشكارى است.»,8,12
[يكى گفت:] «يوسف را بكُشيد يا او را به سرزمينى بيندازيد، تا توجّه پدرتان معطوف شما گردد، و پس از او مردمى شايسته باشيد.»,9,12
گوينده‌اى از ميان آنان گفت: «يوسف را مكُشيد. اگر كارى مى‌كنيد، او را در نهانخانه چاه بيفكنيد، تا برخى از مسافران او را برگيرند.»,10,12
گفتند: «اى پدر، تو را چه شده است كه ما را بر يوسف امين نمى‌دانى در حالى كه ما خيرخواه او هستيم؟,11,12
فردا او را با ما بفرست تا [در چمن‌] بگردد و بازى كند، و ما به خوبى نگهبان او خواهيم بود.,12,12
گفت: «اينكه او را ببَريد سخت مرا اندوهگين مى‌كند، و مى‌ترسم از او غافل شويد و گرگ او را بخورد.»,13,12
و كسانى را كه در راه خدا كشته مى‌شوند، مرده نخوانيد، بلكه زنده‌اند؛ ولى شما نمى‌دانيد.,154,2
گفتند: «اگر گرگ او را بخورد با اينكه ما گروهى نيرومند هستيم، در آن صورت ما قطعاً [مردمى‌] بى‌مقدار خواهيم بود.»,14,12
پس وقتى او را بردند و همداستان شدند تا او را در نهانخانه چاه بگذارند [چنين كردند]. و به او وحى كرديم كه قطعاً آنان را از اين كارشان -در حالى كه نمى‌دانند- با خبر خواهى كرد.,15,12
و شامگاهان، گريان نزد پدر خود [باز] آمدند.,16,12
گفتند: «اى پدر، ما رفتيم مسابقه دهيم، و يوسف را پيش كالاى خود نهاديم. آنگاه گرگ او را خورد، ولى تو ما را هر چند راستگو باشيم باور نمى‌دارى.»,17,12
و پيراهنش را [آغشته‌] به خونى دروغين آوردند. [يعقوب‌] گفت: «[نه‌] بلكه نَفْس شما كارى [بد] را براى شما آراسته است. اينك صبرى نيكو [براى من بهتر است‌]. و بر آنچه توصيف مى‌كنيد، خدا يارى‌ده است.»,18,12
و كاروانى آمد. پس آب‌آور خود را فرستادند. و دلوش را انداخت. گفت: «مژده! اين يك پسر است!» و او را چون كالايى پنهان داشتند. و خدا به آنچه مى‌كردند دانا بود.,19,12
و او را به بهاى ناچيزى -چند درهم- فروختند و در آن بى‌رغبت بودند.,20,12
و آن كس كه او را از مصر خريده بود به همسرش گفت: «نيكش بدار، شايد به حال ما سود بخشد يا او را به فرزندى اختيار كنيم.» و بدين گونه ما يوسف را در آن سرزمين مكانت بخشيديم تا به او تأويل خوابها را بياموزيم، و خدا بر كار خويش چيره است ولى بيشتر مردم نمى‌دانند.,21,12
و چون به حد رشد رسيد، او را حكمت و دانش عطا كرديم، و نيكوكاران را چنين پاداش مى‌دهيم.,22,12
و آن [بانو] كه وى در خانه‌اش بود خواست از او كام گيرد، و درها را [پياپى‌] چفت كرد و گفت: «بيا كه از آنِ توام!» [يوسف‌] گفت: «پناه بر خدا، او آقاى من است. به من جاى نيكو داده است. قطعاً ستمكاران رستگار نمى‌شوند.»,23,12
و قطعاً شما را به چيزى از [قبيلِ‌] ترس و گرسنگى، و كاهشى در اموال و جانها و محصولات مى‌آزماييم؛ و مژده ده شكيبايان را:,155,2
و در حقيقت [آن زن‌] آهنگ وى كرد، و [يوسف نيز] اگر برهان پروردگارش را نديده بود، آهنگ او مى‌كرد. چنين [كرديم‌] تا بدى و زشتكارى را از او بازگردانيم، چرا كه او از بندگان مخلص ما بود.,24,12
و آن دو به سوى در بر يكديگر سبقت گرفتند، و [آن زن‌] پيراهن او را از پشت بدريد و در آستانه در آقاى آن زن را يافتند. آن گفت: «كيفر كسى كه قصد بد به خانواده تو كرده چيست؟ جز اينكه زندانى يا [دچار] عذابى دردناك شود.»,25,12
[يوسف‌] گفت: «او از من كام خواست.» و شاهدى از خانواده آن زن شهادت داد: «اگر پيراهن او از جلو چاك خورده، زن راست گفته و او از دروغگويان است،,26,12
و اگر پيراهن او از پشت دريده شده، زن دروغ گفته و او از راستگويان است.»,27,12
پس چون [شوهرش‌] ديد پيراهن او از پشت چاك خورده است گفت: «بى‌شك، اين از نيرنگ شما [زنان‌] است، كه نيرنگ شما [زنان‌] بزرگ است.»,28,12
«اى يوسف، از اين [پيشامد] روى بگردان. و تو [اى زن‌] براى گناه خود آمرزش بخواه كه تو از خطاكاران بوده‌اى.»,29,12
و [دسته‌اى از] زنان در شهر گفتند: «زن عزيز از غلام خود، كام خواسته و سخت خاطرخواه او شده است. به راستى ما او را در گمراهى آشكارى مى‌بينيم.»,30,12
پس چون [همسر عزيز] از مكرشان اطلاع يافت، نزد آنان [كسى‌] فرستاد، و محفلى برايشان آماده ساخت، و به هر يك از آنان [ميوه و] كاردى داد و [به يوسف‌] گفت: «بر آنان درآى.» پس چون [زنان‌] او را ديدند، وى را بس شگرف يافتند و [از شدت هيجان‌] دستهاى خود را بريدند و گفتند: «منزه است خدا، اين بشر نيست، اين جز فرشته‌اى بزرگوار نيست.»,31,12
[زليخا] گفت: «اين همان است كه در باره او سرزنشم مى‌كرديد. آرى، من از او كام خواستم و[لى‌] او خود را نگاه داشت، و اگر آنچه را به او دستور مى‌دهم نكند قطعاً زندانى خواهد شد و حتماً از خوارشدگان خواهد گرديد.»,32,12
[يوسف‌] گفت: «پروردگارا، زندان براى من دوست‌داشتنى‌تر است از آنچه مرا به آن مى‌خوانند، و اگر نيرنگ آنان را از من بازنگردانى، به سوى آنان خواهم گراييد و از [جمله‌] نادانان خواهم شد.»,33,12
[همان‌] كسانى كه چون مصيبتى به آنان برسد، مى‌گويند: «ما از آنِ خدا هستيم، و به سوى او باز مى‌گرديم.»,156,2
پس، پروردگارش [دعاى‌] او را اجابت كرد و نيرنگ آنان را از او بگردانيد. آرى، او شنواى داناست.,34,12
آنگاه پس از ديدن آن نشانه‌ها، به نظرشان آمد كه او را تا چندى به زندان افكنند.,35,12
و دو جوان با او به زندان درآمدند. [روزى‌] يكى از آن دو گفت: «من خويشتن را [به خواب‌] ديدم كه [انگور براى‌] شراب مى‌فشارم»؛ و ديگرى گفت: «من خود را [به خواب‌] ديدم كه بر روى سرم نان مى‌برم و پرندگان از آن مى‌خورند. به ما از تعبيرش خبر ده، كه ما تو را از نيكوكاران مى‌بينيم.»,36,12
گفت: «غذايى را كه روزى شماست براى شما نمى‌آورند مگر آنكه من از تعبير آن به شما خبر مى‌دهم پيش از آنكه [تعبير آن‌] به شما برسد. اين از چيزهايى است كه پروردگارم به من آموخته است. من آيين قومى را كه به خدا اعتقاد ندارند و منكر آخرتند رها كرده‌ام،,37,12
و آيين پدرانم، ابراهيم و اسحاق و يعقوب را پيروى نموده‌ام. براى ما سزاوار نيست كه چيزى را شريك خدا كنيم. اين از عنايت خدا بر ما و بر مردم است، ولى بيشتر مردم سپاسگزارى نمى‌كنند.,38,12
اى دو رفيق زندانيم، آيا خدايان پراكنده بهترند يا خداى يگانه مقتدر؟,39,12
شما به جاى او جز نامهايى [چند] را نمى‌پرستيد كه شما و پدرانتان آنها را نامگذارى كرده‌ايد، و خدا دليلى بر [حقانيت‌] آنها نازل نكرده است. فرمان جز براى خدا نيست. دستور داده كه جز او را نپرستيد. اين است دين درست، ولى بيشتر مردم نمى‌دانند.,40,12
اى دو رفيق زندانيم، اما يكى از شما به آقاى خود باده مى‌نوشاند، و اما ديگرى به دار آويخته مى‌شود و پرندگان از [مغز] سرش مى‌خورند. امرى كه شما دو تن از من جويا شديد تحقق يافت.,41,12
و [يوسف‌] به آن كس از آن دو كه گمان مى‌كرد خلاص مى‌شود، گفت: «مرا نزد آقاى خود به ياد آور.» و[لى‌] شيطان، يادآورى به آقايش را از ياد او برد؛ در نتيجه، چند سالى در زندان ماند.,42,12
و پادشاه [مصر] گفت: «من [در خواب‌] ديدم هفت گاو فربه است كه هفت [گاو] لاغر آنها را مى‌خورند، و هفت خوشه سبز و [هفت خوشه‌] خشگيده ديگر. اى سران قوم، اگر خواب تعبير مى‌كنيد، در باره خواب من، به من نظر دهيد.»,43,12
بر ايشان درودها و رحمتى از پروردگارشان [باد] و راه‌يافتگان [هم‌] خود ايشانند.,157,2
گفتند: «خوابهايى است پريشان، و ما به تعبير خوابهاى آشفته دانا نيستيم.»,44,12
و آن كس از آن دو [زندانى‌] كه نجات يافته و پس از چندى [يوسف را] به خاطر آورده بود گفت: «مرا به [زندان‌] بفرستيد تا شما را از تعبير آن خبر دهم.»,45,12
«اى يوسف، اى مرد راستگوى، در باره [اين خواب كه‌] هفت گاو فربه، هفت [گاو] لاغر آنها را مى‌خورند، و هفت خوشه سبز و [هفت خوشه‌] خشگيده ديگر؛ به ما نظر ده، تا به سوى مردم برگردم، شايد آنان [تعبيرش را] بدانند.»,46,12
گفت: «هفت سال پى در پى مى‌كاريد، و آنچه را درويديد -جز اندكى را كه مى‌خوريد- در خوشه‌اش واگذاريد.,47,12
آنگاه پس از آن، هفت سال سخت مى‌آيد كه آنچه را براى آن [سالها] از پيش نهاده‌ايد -جز اندكى را كه ذخيره مى‌كنيد- همه را خواهند خورد.,48,12
آنگاه پس از آن، سالى فرا مى‌رسد كه به مردم در آن [سال‌] باران مى‌رسد و در آن آب ميوه مى‌گيرند.,49,12
و پادشاه گفت: «او را نزد من آوريد.» پس هنگامى كه آن فرستاده نزد وى آمد، [يوسف‌] گفت: «نزد آقاى خويش برگرد و از او بپرس كه حال آن زنانى كه دستهاى خود را بريدند چگونه است؟ زيرا پروردگار من به نيرنگ آنان آگاه است.»,50,12
[پادشاه‌] گفت: «وقتى از يوسف كام [مى‌]خواستيد چه منظور داشتيد؟» زنان گفتند: «منزه است خدا، ما گناهى بر او نمى‌دانيم،» همسر عزيز گفت: «اكنون حقيقت آشكار شد. من [بودم كه‌] از او كام خواستم، و بى‌شك او از راستگويان است.»,51,12
[يوسف گفت:] «اين [درخواست اعاده حيثيت‌] براى آن بود كه [عزيز] بداند من در نهان به او خيانت نكردم، و خدا نيرنگ خائنان را به جايى نمى‌رساند.,52,12
و من نفس خود را تبرئه نمى‌كنم، چرا كه نفس قطعاً به بدى امر مى‌كند، مگر كسى را كه خدا رحم كند، زيرا پروردگار من آمرزنده مهربان است.,53,13
در حقيقت، «صفا» و «مروه» از شعاير خداست [كه يادآور اوست‌]؛ پس هر كه خانه [خدا] را حج كند، يا عمره گزارد، بر او گناهى نيست كه ميان آن دو سعى به جاى آورد. و هر كه افزون بر فريضه، كار نيكى كند، خدا حق شناس و داناست.,158,2
و پادشاه گفت: «او را نزد من آوريد، تا وى را خاص خود كنم.» پس چون با او سخن راند، گفت: «تو امروز نزد ما با منزلت و امين هستى.»,54,13
[يوسف‌] گفت: «مرا بر خزانه‌هاى اين سرزمين بگمار، كه من نگهبانى دانا هستم.»,55,13
و بدين گونه يوسف را در سرزمين [مصر] قدرت داديم، كه در آن، هر جا كه مى خواست سكونت مى‌كرد. هر كه را بخواهيم به رحمت خود مى‌رسانيم و اجر نيكوكاران را تباه نمى‌سازيم.,56,13
و البته اجر آخرت، براى كسانى كه ايمان آورده و پرهيزگارى مى‌نمودند، بهتر است.,57,13
و برادران يوسف آمدند و بر او وارد شدند. [او] آنان را شناخت ولى آنان او را نشناختند.,58,13
و چون آنان را به خوار و بارشان مجهز كرد، گفت: «برادر پدرى خود را نزد من آوريد. مگر نمى‌بينيد كه من پيمانه را تمام مى‌دهم و من بهترين ميزبانانم؟,59,13
پس اگر او را نزد من نياورديد، براى شما نزد من پيمانه‌اى نيست، و به من نزديك نشويد.,60,13
گفتند: «او را با نيرنگ از پدرش خواهيم خواست، و محققاً اين كار را خواهيم كرد.»,61,13
و [يوسف‌] به غلامان خود گفت: «سرمايه‌هاى آنان را در بارهايشان بگذاريد، شايد وقتى به سوى خانواده خود برمى‌گردند آن را بازيابند، اميد كه آنان بازگردند.»,62,13
پس چون به سوى پدر خود بازگشتند، گفتند: «اى پدر، پيمانه از ما منع شد. برادرمان را با ما بفرست تا پيمانه بگيريم، و ما نگهبان او خواهيم بود.»,63,13
كسانى كه نشانه‌هاى روشن، و رهنمودى را كه فرو فرستاده‌ايم، بعد از آنكه آن را براى مردم در كتاب توضيح داده‌ايم، نهفته مى‌دارند، آنان را خدا لعنت مى‌كند، و لعنت‌كنندگان لعنتشان مى‌كنند.,159,2
[يعقوب‌] گفت: «آيا همان گونه كه شما را پيش از اين بر برادرش امين گردانيدم، بر او امين سازم؟ پس خدا بهترين نگهبان است، و اوست مهربانترين مهربانان.»,64,13
و هنگامى كه بارهاى خود را گشودند، دريافتند كه سرمايه‌شان بدانها بازگردانيده شده است. گفتند: «اى پدر، [ديگر] چه مى‌خواهيم؟ اين سرمايه ماست كه به ما بازگردانيده شده است. قوت خانواده خود را فراهم، و برادرمان را نگهبانى مى‌كنيم، و [با بردن او] يك بار شتر مى‌افزاييم، و اين [پيمانه اضافى نزد عزيز] پيمانه‌اى ناچيز است.»,65,13
گفت: «هرگز او را با شما نخواهم فرستاد تا با من با نام خدا پيمان استوارى ببنديد كه حتماً او را نزد من باز آوريد، مگر آنكه گرفتار [حادثه‌اى‌] شويد.» پس چون پيمان خود را با او استوار كردند [يعقوب‌] گفت: «خدا بر آنچه مى‌گوييم وكيل است.»,66,13
و گفت: «اى پسران من، [همه‌] از يك دروازه [به شهر] در نياييد، بلكه از دروازه‌هاى مختلف وارد شويد، و من [با اين سفارش،] چيزى از [قضاى‌] خدا را از شما دور نمى‌توانم داشت. فرمان جز براى خدا نيست. بر او توكل كردم، و توكل‌كنندگان بايد بر او توكل كنند.»,67,13
و چون همان گونه كه پدرانشان به آنان فرمان داده بود وارد شدند، [اين كار] چيزى را در برابر خدا از آنان برطرف نمى‌كرد جز اينكه يعقوب نيازى را كه در دلش بود، برآورد و بى‌گمان، او از [بركت‌] آنچه بدو آموخته بوديم داراى دانشى [فراوان‌] بود، ولى بيشتر مردم نمى‌دانند.,68,13
و هنگامى كه بر يوسف وارد شدند، برادرش [بنيامين‌] را نزد خود جاى داد [و] گفت: «من برادر تو هستم.» بنابراين، از آنچه [برادران‌] مى‌كردند، غمگين مباش.,69,13
پس هنگامى كه آنان را به خوار و بارشان مجهز كرد، آبخورى را در بار برادرش نهاد. سپس [به دستور او] نداكننده‌اى بانگ درداد: «اى كاروانيان، قطعاً شما دزد هستيد.»,70,13
[برادران‌] در حالى كه به آنان روى كردند، گفتند: «چه گم كرده‌ايد؟»,71,13
گفتند: «جام شاه را گم كرده‌ايم، و براى هر كس كه آن را بياورد يك بار شتر خواهد بود.» و [متصدى گفت:] «من ضامن آنم.»,72,13
گفتند: «به خدا سوگند، شما خوب مى‌دانيد كه ما نيامده‌ايم در اين سرزمين فساد كنيم و ما دزد نبوده‌ايم.»,73,13
مگر كسانى كه توبه كردند، و [خود را] اصلاح نمودند، و [حقيقت را] آشكار كردند، پس بر آنان خواهم بخشود؛ و من توبه‌پذير مهربانم.,160,2
گفتند: «پس، اگر دروغ بگوييد، كيفرش چيست؟»,74,13
گفتند: «كيفرش [همان‌] كسى است كه [جام‌] در بار او پيدا شود. پس كيفرش خود اوست. ما ستمكاران را اين گونه كيفر مى‌دهيم.»,75,13
